sifra,naslov,avtor,cena_v_evrih,stevilo_strani,dimenzije,leto_izdaje,prevajalec,vezava,zalozba
003539,Znova nevesta (Trda vezava),Jane Ashford,14.99,366,"13 x 19,5 cm",2014,Mojca Žnidar&scaron;ič,trda,"Učila International, d.o.o."
003535,Ko &scaron;epetajo ciprese (Trda vezava),Yvette Manessis Corporon,14.99,316,"13 x 19,5 cm",2014,Neža Vovk,trda,"Učila International, d.o.o."
013097,Zdaj jo vidi&scaron; (Žepna knjiga),Joy Fielding,3.99,348,"12,5 x 19 cm",2014,Niki Neubauer,žepna,"Učila International, d.o.o."
003486,Maske v mesečini (Trda vezava),Jude Deveraux,32.9,334,"13 x 19,5 cm",2014,Ida Sternad,trda,"Učila International, d.o.o."
003451,Prevarant (Trda vezava),John Grisham,14.99,378,"13 x 19,5 cm",2014,Katja Mikelj,trda,"Učila International, d.o.o."
003425,Volk (trda vezava),Ethan Cross,14.99,375,"13 x 19,5 cm",2014,Andrea Potočnik,trda,"Učila International, d.o.o."
003483,Ujeta v mrežo (Trda vezava),Emma Chase,14.99,272,"13 x 19,5 cm",2014,Katja Mikelj,trda,"Učila International, d.o.o."
013091,Maske v mesečini (Žepna knjiga),Jude Deveraux,3.99,334,"12,5 x 19 cm",2014,Ida Sternad,žepna,"Učila International, d.o.o."
003410,Hči Siene (trda vezava),Marina Fiorato,14.99,341,"13,5 x 19,5 cm",2014,Valerija Cedilnik,trda,"Učila International, d.o.o."
003564,V vrtincu romantike z lahkoživcem (Trda vezava),Sarah MacLean,14.99,426,"13 x 19,5 cm",2014,Petra Piber,trda,"Učila International, d.o.o."
003461,Varuh (Trda vezava),Nicholas Sparks,14.99,440,"13 x 19,5 cm",2014,Ljubica Klančar,trda,"Učila International, d.o.o."
003531,Podrejena (trda vezava),Tara Sue Me,29.9,307,"13,5 x 19,5 cm",2014,Petra Brecelj,trda,"Učila International, d.o.o."
003568,Tatovi senc (trda vezava),Elizabeth Hoyt,12.99,336,"13 x 19,5 cm",2014,Ida Sternad,trda,"Učila International, d.o.o."
003459,Pod tem mo&scaron;kim (trda vezava),Jodi Ellen Malpas,34.9,512,"13,5 x 19,5 cm",2014,Katja Benevol Gabrijelčič,trda,"Učila International, d.o.o."
003409,Čarobni užitki (trda vezava),Eloisa James,14.99,426,"13,5 x 19,5 cm",2014,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
003406,Obožujem Las Vegas (trda vezava),Lindsey Kelk,14.99,329,"13,5 x 19,5 cm",2014,Teja Britov&scaron;ek,trda,"Učila International, d.o.o."
013090,Spartak: Kri in pesek (Žepna knjiga),Mark Morris,3.99,256,"12,5 x 19 cm",2014,Jernej Zoran,žepna,"Učila International, d.o.o."
013122,Skrivne sestavine ljubezni (Žepna knjiga),Nicolas Barreau,3.99,252,"13,5 x 19,5 cm",2014,Maru&scaron;a Mugerli Lavrenčič,žepna,"Učila International, d.o.o."
003577,Lenuhar (trda vezava),Mark Billingham,14.99,404,"13 x 19,5 cm",2014,Petra Anžlovar,trda,"Učila International, d.o.o."
003467,Izginuli (Trda vezava),James Patterson in Michael Ledewidge,14.99,331,"13 x 19,5 cm",2014,Nata&scaron;a Pregl,trda,"Učila International, d.o.o."
013089,NYPD Rdeči 2 (Žepna knjiga),James Patterson,10.9,352,"12,5 x 19 cm",2014,Barbara Golubovac,žepna,"Učila International, d.o.o."
013116,Poželjivec (Žepna knjiga),Julia Quinn,12.9,348,"13,5 x 19,5 cm",2014,Ur&scaron;ka Willevaldt,žepna,"Učila International, d.o.o."
013084,Vse za ljubezen (Žepna knjiga),Liane Moriarty,3.99,438,"12,5 x 19 cm",2014,Maja Prevolnik,žepna,"Učila International, d.o.o."
003558,Indijska ulica (trda vezava),Samantha Young,12.99,320,"13 x 19,5 cm",2014,Neža Kralj,trda,"Učila International, d.o.o."
013101,Podrejena (Žepna knjiga),Tara Sue Me,3.99,308,"12,5 x 19 cm",2014,Petra Brecelj,žepna,"Učila International, d.o.o."
003484,Uklonjena (Trda vezava),Emma Chase,29.9,238,"13 x 19,5 cm",2014,Katja Mikelj,trda,"Učila International, d.o.o."
003355,Vročica (trda vezava),Maya Banks,14.99,362,"13 x 19,5 cm",2014,&Scaron;pela Vodopivec,trda,"Učila International, d.o.o."
003462,Poroka (Trda vezava),Nicholas Sparks,14.99,240,"13 x 19,5 cm",2014,Mojca Svetičič,trda,"Učila International, d.o.o."
013086,Skrivnostno jezero (Žepna knjiga),Simon Beckett,10.9,318,"12,5 x 19 cm",2014,Jana Ambrožič,žepna,"Učila International, d.o.o."
003501,Dekle na pečini (trda vezava),Lucinda Riley,14.99,446,"13 x 19,5 cm",2014,Suzana Jovanovič,trda,"Učila International, d.o.o."
003424,Spartak: Kri in pesek (Trda vezava),Mark Morris,29.9,256,"13 x 19,5 cm",2014,Jernej Zoran,trda,"Učila International, d.o.o."
003469,13. bomba (trda vezava),James Patterson in Maxine Paetro,12.99,333,"13,5 x 19,5 cm",2014,Andrea Potočnik,trda,"Učila International, d.o.o."
013108,Polnočna dama (Žepna knjiga),Tessa Dare,12.9,352,"12,5 x 19 cm",2014,Suzana Pečnik,žepna,"Učila International, d.o.o."
003324,Orli in prerokbe (trda vezava),Simon Scarrow,14.99,478,"13 x 19,5 cm",2014,Maja Lihtenvalner,trda,"Učila International, d.o.o."
013100,Seznam smrti (Žepna knjiga),Frederick Forsythe,10.9,302,"12,5 x 19 cm",2014,Marko Bogataj,žepna,"Učila International, d.o.o."
003439,Zdaj jo vidi&scaron; (trda vezava),Joy Fielding,14.99,347,"13,5 x 19,5 cm",2014,Niki Neubauer,trda,"Učila International, d.o.o."
003526,Seznam smrti (trda vezava),Frederick Forsyth,14.99,300,"13,5 x 19,5 cm",2014,Marko Bogataj,trda,"Učila International, d.o.o."
013103,Znova nevesta (Žepna knjiga),Jane Ashford,3.99,366,"12,5 x 19 cm",2014,Mojca Žnidar&scaron;ič,žepna,"Učila International, d.o.o."
003464,Solna pot (Trda vezava),Jane Johnson,34.9,434,"13 x 19,5 cm",2014,Mateja Maligoj,trda,"Učila International, d.o.o."
003468,NYPD rdeči 2 (Trda vezava),James Patterson in Marshall Karp,14.99,352,"13 x 19,5 cm",2014,Barbara Golubovac,trda,"Učila International, d.o.o."
013105,Pesem lune in morja (Žepna knjiga),Nina George,3.99,280,"12,5  x 19 cm",2014,Maru&scaron;a Mugerli Lavrenčič,žepna,"Učila International, d.o.o."
003573,Čudovite ru&scaron;evine (trda vezava),Jess Walter,14.99,377,"13,5 x 19,5 cm",2014,Maja Prevolnik,trda,"Učila International, d.o.o."
013112,Hči Siene (Žepna knjiga),Marina Fiorato,10.9,341,"13,5 x 19,5 cm",2014,Valerija Cedilnik,žepna,"Učila International, d.o.o."
003490,Vse za ljubezen (Trda vezava),Liane Moriarty,14.99,438,"13 x 19,5 cm",2014,Maja Prevolnik,trda,"Učila International, d.o.o."
003487,Polnočna dama (trda vezava),Tessa Dare,12.99,352,"13 x 19,5 cm",2014,Suzana Pečnik,trda,"Učila International, d.o.o."
003510,Skrivnostno jezero (Trda vezava),Simon Beckett,14.99,318,"13 x 19,5 cm",2014,Jana Ambrožič,trda,"Učila International, d.o.o."
003307,Angel smrti (trda vezava),Camilla Lackberg,14.99,447,"13 x 19,5 cm",2014,Danni Stražar,trda,"Učila International, d.o.o."
003578,Skrivne sestavine ljubezni (trda vezava),Nicolas Barreau,12.99,252,"13 x 19,5 cm",2014,Maru&scaron;a Mugerli Lavrenčič,trda,"Učila International, d.o.o."
013114,Čudovite ru&scaron;evine (Žepna knjiga),Jess Walter,12.9,377,"13,5 x 19,5 cm",2014,Maja Prevolnik,žepna,"Učila International, d.o.o."
003414,Poželjivec (trda vezava),Julia Quinn,32.9,348,"13,5 x 19,5 cm",2014,Ur&scaron;ka Willevaldt,trda,"Učila International, d.o.o."
003509,Pesem lune in morja (Trda vezava),Nina George,12.99,280,"13 x 19,5 cm",2014,Maru&scaron;a Mugerli Lavrenčič,trda,"Učila International, d.o.o."
013040,Mehurček (Žepna knjiga),Anders de la Motte,3.99,438,"12,5 x 19 cm",2014,Katja Mikelj,mehka,"Učila International, d.o.o."
003412,Ljubezen z očarljivcem (trda vezava),Julia Quinn,6.0,382,"13 x 19,5 cm",2014,Petra Piber,trda,"Učila International, d.o.o."
013043,Prava ljubezen (Žepna knjiga),Jude Deveraux,12.9,472,"12,5 x 19 cm",2014,Ida Sternad,mehka,"Učila International, d.o.o."
003289,&Scaron;epet mrtvih (trda vezava),Simon Beckett,6.0,336,"13 x 19,5 cm",2013,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
003298,Najdalj&scaron;a pot (trda vezava),Nicholas Sparks,14.99,416,"13 x 19,5 cm",2013,Irena Modrijan,trda,"Učila International, d.o.o."
003496,Hi&scaron;a orhidej (Trda vezava),Lucinda Riley,34.9,496,"13 cm x 19,5 cm",2014,Neža Kralj,trda,"Učila International, d.o.o."
003401,Zapu&scaron;čeni (Trda vezava),Cody McFadyen,14.99,462,"13 cm x 19,5 cm",2014,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
013058,"&Scaron;ved, ki je izginil (Žepna knjiga)",Robert Karjel,10.9,328,"12,5 x 19 cm",2014,Robert Karjel,žepna,"Učila International, d.o.o."
013025,Razgaljena S.K.R.I.V.N.O.S.T. (Žepna knjiga),L. Marie Adeline,3.99,268,"12,5 x 19 cm",2013,Amanda Mlakar,žepna,"Učila International, d.o.o."
003374,&Scaron;kandalozna poželenja (trda vezava),Elizabeth Hoyt,12.99,326,"13 x 19,5 cm",2014,Maja Prevolnik,trda,"Učila International, d.o.o."
013031,Strast (Žepna knjiga),Maya Banks,12.9,404,"12,5 x 19 cm",2013,&Scaron;pela Vodopivec,žepna,"Učila International, d.o.o."
003477,Boječka (trda vezava),Mark Billingham,14.99,410,"13,5 x 19,5 cm",2014,Petra Anžlovar,trda,"Učila International, d.o.o."
003248,Kavalirjeva ponudba (trda vezava),Julia Quinn,14.99,378,"13 x 19,5 cm",2013,Ur&scaron;ka Willewaldt,trda,"Učila International, d.o.o."
003302,Umori v živo (trda vezava),Chris Carter,14.99,478,"13 x 19,5 cm",2013,Eva Majdič,trda,"Učila International, d.o.o."
013032,Za razbitim steklom (Žepna knjiga),Tasha Alexander,3.99,318,"12,5 x 19 cm",2013,Suzana Pečnik,žepna,"Učila International, d.o.o."
003476,Svetloba v Provansi (trda vezava),Nina George,14.99,335,"13,5 x 19,5 cm",2014,Maru&scaron;a Mugerli Lavrenčič,trda,"Učila International, d.o.o."
003306,Čuvaj svetilnika (trda vezava),Camilla L&auml;ckberg,14.99,458,"13 x 19,5 cm",2014,Danni Stražar,trda,"Učila International, d.o.o."
013079,Hi&scaron;a orhidej (Žepna knjiga),Lucinda Riley,14.9,496,"12,5 cm x 19 cm",2014,Neža Kralj,žepna,"Učila International, d.o.o."
003427,Zaspanka (trda vezava),Mark Billingham,14.99,381,"13 x 19,5 cm",2014,Petra Anžlovar,trda,"Učila International, d.o.o."
013067,Neznanec v mesečini (Žepna knjiga),Jude Deveraux,3.99,288,"12,5 x 19 cm",2014,Ida Sternad,žepna,"Učila International, d.o.o."
003234,&Scaron;kandal v satenu (trda vezava),Loretta Chase,6.0,352,"13 x 19,5 cm",2013,Katja Mikelj,trda,"Učila International, d.o.o."
013050,Noč predaje (Žepna knjiga),Tessa Dare,3.99,365,"12,9 x 19 cm",2014,Suzana Pečnik,žepna,"Učila International, d.o.o."
003323,Orlov plen (trda vezava),Simon Scarrow,14.99,462,"13 x 19,5 cm",2014,Maja Lihtenvalner,trda,"Učila International, d.o.o."
003405,Obožujem Pariz (trda vezava),Lindsey Kelk,14.99,318,"13 x 19,5 cm",2014,Teja Britov&scaron;ek,trda,"Učila International, d.o.o."
013055,Ljubezen z očarljivcem (Žepna knjiga),Julia Quinn,3.99,382,"12,5 x 19 cm",2014,Petra Piber,žepna,"Učila International, d.o.o."
003332,Za razbitim steklom (trda vezava),Tasha Alexander,6.0,318,"13 x 19,5 cm",2013,Suzana Pečnik,trda,"Učila International, d.o.o."
003288,Imperator: Kri bogov (trda vezava),Conn Iggulden,14.99,434,"13 x 19,5 cm",2013,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
013057,Poželenje (Žepna knjiga),Maya Banks,3.99,438,"12,5 x 19 cm",2014,&Scaron;pela Vodopivec,žepna,"Učila International, d.o.o."
003400,Temna stran (trda vezava),Cody McFadyen,14.99,400,"13 x 19,5 cm",2014,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
003403,Veliki užitki (trda vezava),Eloisa James,14.99,343,"13 x 19,5 cm",2014,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
013016,&Scaron;kandal v satenu (Žepna knjiga),Loretta Chase,3.99,352,"12,5 x 19 cm",2013,Katja Mikelj,žepna,"Učila International, d.o.o."
013071,Tvoja za vedno (Žepna knjiga),J. A. Redmerski,3.99,414,0,2014,Manica Ba&scaron;a,žepna,"Učila International, d.o.o."
013068,Bene&scaron;ko naročilo (Žepna knjiga),Marina Fiorato,3.99,384,"12,5 x 19 cm",2014,Mateja Maligoj,žepna,"Učila International, d.o.o."
003458,Ta mo&scaron;ki (trda vezava),Jodi Ellen Malpas,14.99,461,"13,5 x 19,5 cm",2014,Katja Benevol Gabrijelčič,trda,"Učila International, d.o.o."
013026,Gospodarica noči in zore (Žepna knjiga),Vina Jackson,3.99,302,"12,5 x 19 cm",2013,Petra Anžlovar,žepna,"Učila International, d.o.o."
003384,Tvoja za vedno (trda vezava),J. A. Redmerski,32.9,414,"13,5 x 19,5 cm",2014,Manica Ba&scaron;a,trda,"Učila International, d.o.o."
003421,Jamaj&scaron;ka ulica (trda vezava),Samantha Young,14.99,348,"13 x 19,5 cm",2014,Irena Modrijan,trda,"Učila International, d.o.o."
003423,Spartak: Meči in pepel (trda vezava),J.M. Clements,6.0,302,"13 x 19,5 cm",2014,Jernej Zoran,trda,"Učila International, d.o.o."
003393,Prava ljubezen (trda vezava),Jude Deveraux,34.9,472,"13 x 19,5 cm",2014,Ida Sternad,trda,"Učila International, d.o.o."
013060,Območje divjine (Žepna knjiga),Joy Fielding,3.99,124,"12,5 x 19 cm",2014,Niki Neubauer,žepna,"Učila International, d.o.o."
003455,Tiha žena (trda vezava),A. S. A. Harrison,14.99,288,"13 x 19,5 cm",2014,Irena Madric,trda,"Učila International, d.o.o."
003411,Bene&scaron;ko naročilo (trda vezava),Marina Fioratto,14.99,383,"13,5 x 19,5 cm",2014,Mateja Maligoj,trda,"Učila International, d.o.o."
013056,Spartak: Meči in pepel (Žepna knjiga),J. M. Clements,3.99,302,"12,5 x 19 cm",2014,Jernej Zoran,žepna,"Učila International, d.o.o."
003408,Polnočni užitki (trda vezava),Eloisa James,14.99,444,"13,5 x 19,5 cm",2014,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
003426,Noč predaje (trda vezava),Tessa Dare,14.99,365,"13 x 19,5 cm",2014,Suzana Pečnik,trda,"Učila International, d.o.o."
003489,Moževa skrivnost (Trda vezava),Liane Moriarty,14.99,416,"13 cm x 19,5 cm",2014,Eva Majdič,trda,"Učila International, d.o.o."
003291,Gospodarica noči in zore (trda vezava),Vina Jackson,6.0,302,"13 x 19,5 cm",2013,Petra Anžlovar,trda,"Učila International, d.o.o."
003331,Razgaljena S.K.R.I.V.N.O.S.T (trda vezava),L. Marie Adeline,6.0,268,"13 x 19,5 cm",2013,Amanda Mlakar,trda,"Učila International, d.o.o."
013045,Jamaj&scaron;ka ulica (Žepna knjiga),Samantha Young,10.9,348,"12,5 x 19 cm",2014,Irena Modrijan,žepna,"Učila International, d.o.o."
003112,Mehurček (trda vezava),Anders de la Motte,14.99,438,"13 x 19,5 cm",2014,Katja Mikelj,trda,"Učila International, d.o.o."
013072,Boječka (Žepna knjiga),Mark Billingham,3.99,410,0,2014,Petra Anžlovar,žepna,"Učila International, d.o.o."
003478,Sedem dni pregreh (Trda vezava),Tessa Dare,14.99,364,"13 cm x 19,5 cm",2014,Suzana Pečnik,trda,"Učila International, d.o.o."
003457,Neznanec v mesečini (trda vezava),Jude Deveraux,12.99,288,0,2014,Ida Sternad,trda,"Učila International, d.o.o."
003089,Barve ljubezni (trda vezava),Vina Jackson,6.0,299,"13,5 x 19,5 cm",2013,Petra Anžlovar,trda,"Učila International, d.o.o."
003198,Kemija smrti (trda vezava),Simon Beckett,14.99,344,"13 x 19,5 cm",2013,Mateja Maligoj,trda,"Učila International, d.o.o."
003182,&Scaron;krlatno svarilo (trda vezava),Tasha Alexander,6.0,333,"13 x 19,5 cm",2013,Suzana Pečnik,trda,"Učila International, d.o.o."
003186,Jutranja mesečina (trda vezava),Jude Deveraux,12.99,320,"13 x 19,5 cm",2013,Ida Sternad,trda,"Učila International, d.o.o."
003213,Barve plesa (trda vezava),Vina Jackson,6.0,270,"13 x 19,5 cm",2013,Petra Anžlovar,trda,"Učila International, d.o.o."
003247,"Vikont, ki me je ljubil (trda vezava)",Julia Quinn,6.0,394,"13 x 19,5 cm",2013,Alenka Razbor&scaron;ek,trda,"Učila International, d.o.o."
003091,Neznanka (trda vezava),Camilla L&auml;ckberg,14.99,524,"13 x 19,5 cm",2013,Danni Stražar,trda,"Učila International, d.o.o."
003260,12. žrtev (trda vezava),James Patterson in Maxine Paetro,9.99,331,"13 x 19,5 cm",2013,Andrea Potočnik,trda,"Učila International, d.o.o."
012997,Sulejman veličastni (Žepna knjiga),Colin Falconer,14.9,558,"12,5 x 19 cm",2013,Katja Mikelj,žepna,"Učila International, d.o.o."
002890,Žareča žica (trda vezava),Jeffery Deaver,14.99,511,"13,5 x 19,5 cm",2013,Tone Vrhovnik Straka,trda,"Učila International, d.o.o."
012983,Barve plesa (Žepna knjiga),Vina Jackson,3.99,270,"12,5 x 19 cm",2013,Petra Anžlovar,žepna,"Učila International, d.o.o."
003230,Seznam želja (trda vezava),Jane Costello,14.99,415,"13 x 19,5 cm",2013,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
003211,Vojvoda in jaz (trda vezava),Julia Quinn,14.99,372,"13 x 19,5 cm",2013,Alenka Razbor&scaron;ek,trda,"Učila International, d.o.o."
003082,Sultanova žena (trda vezava),Jane Johnson,14.99,478,"13,5 x 19,5 cm",2013,Darja Marin&scaron;ek,trda,"Učila International, d.o.o."
012992,Usodna preteklost (Žepna knjiga),Carly Phillips,10.9,301,"12,5 x 19 cm",2013,Jana Ambrožič,žepna,"Učila International, d.o.o."
003179,Prekletstvo Rivertona (trda vezava),Kate Morton,14.99,511,"13 x 19,5 cm",2013,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
003195,Smrt v mestu na vodi (trda vezava),Tasha Alexander,14.99,259,"13 x 19,5 cm",2013,Suzana Pečnik,trda,"Učila International, d.o.o."
003235,Usodna preteklost (trda vezava),Carly Phillips,14.99,301,"13 x 19,5 cm",2013,Jana Ambrožič,trda,"Učila International, d.o.o."
003231,Pozabljeni vrt (trda vezava),Kate Morton,14.99,560,"13 x 19,5 cm",2013,Suzana Jovanovič,trda,"Učila International, d.o.o."
003273,Najlep&scaron;a čokoladnica v Parizu (trda vezava),Jenny Colgan,14.99,382,"13 x 19,5 cm",2013,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
013013,Ugla&scaron;eno srce (Žepna knjiga),Jan-Philipp Sendker,10.9,318,"12,5 x 19 cm",2013,Jernej Zoran,žepna,"Učila International, d.o.o."
012998,Barve hrepenenja (Žepna knjiga),Vina Jackson,3.99,284,"12,5 x 19 cm",2013,Petra Anžlovar,žepna,"Učila International, d.o.o."
012991,12. žrtev (Žepna knjiga),James Patterson in Maxine Paetro,10.9,331,"12,5 x 19 cm",2013,Andrea Potočnik,žepna,"Učila International, d.o.o."
012985,Pozabljeni vrt (Žepna knjiga),Kate Morton,3.99,560,"12,5 x 19 cm",2013,Suzana Jovanovič,žepna,"Učila International, d.o.o."
013011,Poročna noč (Žepna knjiga),Sophie Kinsella,3.99,416,"12,5 x 19 cm",2013,Ida Sternad,žepna,"Učila International, d.o.o."
003233,Zapeljivka v svili (trda vezava),Loretta Chase,6.0,369,"13 x 19,5 cm",2013,Petra Berlot Kužner,trda,"Učila International, d.o.o."
012989,Smrt v mestu na vodi (Žepna knjiga),Tasha Alexander,10.9,259,"12,5 x 19 cm",2013,Suzana Pečnik,žepna,"Učila International, d.o.o."
003232,Dežela poslikanih jam (trda vezava),Jean M. Auel,19.99,384368,16 x 24 cm,2013,0,trda,"Učila International, d.o.o."
003196,Živa polomija (trda vezava),Jamie McGuire,14.99,406,"13 x 19,5 cm",2013,Ida Sternad,trda,"Učila International, d.o.o."
003283,Zapisano v kosteh (trda vezava),Simon Beckett,12.99,362,"13 x 19,5 cm",2013,Mateja Maligoj,trda,"Učila International, d.o.o."
003214,Barve hrepenenja (trda vezava),Vina Jackson,6.0,284,"13 x 19,5 cm",2013,Petra Anžlovar,trda,"Učila International, d.o.o."
003096,Ko orli lovijo (trda vezava),Simon Scarrow,6.0,360,"13 x 19,5 cm",2013,Maja Lihtenvalner,trda,"Učila International, d.o.o."
003281,Londonska ulica (trda vezava),Samantha Young,14.99,416,"13 x 19,5 cm",2013,Irena Modrijan,trda,"Učila International, d.o.o."
013014,"Tiho, deklica (Žepna knjiga)",Suzanne Redfearn,3.99,352,"12,5 x 19 cm",2013,Irena Matović,žepna,"Učila International, d.o.o."
003194,Srečno naključje (trda vezava),Carly Phillips,6.0,315,"13 x 19,5 cm",2013,Marta Graj,trda,"Učila International, d.o.o."
003266,Luč sredi morja (trda vezava),M. L. Stedman,14.99,372,"13 x 19,5 cm",2013,Suzana Pečnik,trda,"Učila International, d.o.o."
003249,Ugla&scaron;eno srce (trda vezava),Jan-Philipp Sendker,14.99,318,"13 x 19,5 cm",2013,Jernej Zoran,trda,"Učila International, d.o.o."
012995,Zapeljivka v svili (Žepna knjiga),Loretta Chase,3.99,369,"12,5 x 19 cm",2013,Petra Berlot Kužner,žepna,"Učila International, d.o.o."
003212,Primite tatu (trda vezava),James Patterson in Marshall Karp,14.99,329,"13 x 19,5 cm",2013,Alenka Perger,trda,"Učila International, d.o.o."
013007,Najlep&scaron;a čokoladnica v Parizu (Žepna knjiga),Jenny Colgan,12.9,382,"12,5 x 19 cm",2013,Katja Jeraj Valentinčič,žepna,"Učila International, d.o.o."
003197,NYPD Rdeči (trda vezava),James Patterson in Marshall Karp,6.0,336,"13 x 19,5 cm",2013,Irena Modrijan,trda,"Učila International, d.o.o."
003092,Morska deklica (trda vezava),Camilla Lackberg,14.99,448,"13 x 19,5 cm",2013,Danni Stražar,trda,"Učila International, d.o.o."
013008,Obraz smrti (Žepna knjiga),Cody McFadyen,12.9,512,"12,5 x 19 cm",2013,Samo Ku&scaron;čer,žepna,"Učila International, d.o.o."
003099,Mreža (trda vezava),Anders de la Motte,14.99,382,"13,5 x 19,5 cm",2013,Maru&scaron;a Mugerli Lavrenčič,trda,"Učila International, d.o.o."
012971,&Scaron;krlatno svarilo (Žepna knjiga),Tasha Alexander,3.99,333,"13,5 x 19,5 cm",2013,Suzana Pečnik,broširana,"Učila International, d.o.o."
003270,Rosie v svetu sladkih pregreh (trda vezava),Jenny Colgan,14.99,432,"13 x 19,5 cm",2013,Maja Lihtenvalner,trda,"Učila International, d.o.o."
003236,Novi začetki (trda vezava),Carly Phillips,12.99,304,"13 x 19,5 cm",2013,Jana Ambrožič,trda,"Učila International, d.o.o."
012977,NYPD Rdeči (Žepna knjiga),James Patterson in Marshall Karp,10.9,336,"13,5 x 19,5 cm",2013,Irena Modrijan,žepna,"Učila International, d.o.o."
003287,Vražje nakane (trda vezava),Elizabeth Hoyt,6.0,360,"13 x 19,5 cm",2013,Maja Prevolnik,trda,"Učila International, d.o.o."
002973,Ne guglaj strtega srca (trda vezava),Emma Garcia,14.99,365,"13,5 x 19,5 cm",2013,Petra Berlot Kužner,trda,"Učila International, d.o.o."
003266,Knjiga za pare (trda vezava),"Eduard Augustin, Philipp von Keisenberg, Christian Zaschke in Klaus Raab",14.99,384,"13 x 19,5 cm",2013,Petra Anžlovar,trda,"Učila International, d.o.o."
012905,Nazaj v novo življenje (Žepna knjiga),Jude Deveraux,3.99,351,"12,5 x 19 cm",2012,Irena Modrijan,mehka,Učila International d.o.o.
003141,S.K.R.I.V.N.O.S.T. (trda vezava),L. MARIE ADELINE,6.0,244,13X20,2013,Alenka Perger,trda,"Učila International, d.o.o."
003079,Petdeset odtenkov teme,El James,9.99,567,"13 cm x 19,5 cm",2012,Alenka Perger,trda,Učila International d.o.o.
003063,11. ura (trda vezava),James Patterson in Maxine Paetro,14.99,335,13 x 20 cm,2012,Andrea Potočnik,trda,"Učila International, d.o.o."
012889,Pridigar (Žepna knjiga),Camilla Lackberg,12.9,432,"12,5 x 19 cm",2012,Danni Stražar,mehka,Učila International d.o.o.
012911,Vsiljivka (Žepna knjiga),Sophie Kinsella,3.99,295,"12,5 x 19 cm",2012,Alenka Perger,mehka,Učila International d.o.o.
012924,Nočni cirkus (Žepna knjiga),Erin Morgenstern,3.99,423,"12,5 cm x 19 cm",2012,Neža Kralj,mehka,Učila International d.o.o.
002891,Dekle s papirja (trda vezava),Guillaume Musso,6.0,416,"13 x 19,5 cm",2012,Maja Lihtenvalner,trda,Učila International d.o.o.
012907,&Scaron;kandalozna pota (Žepna knjiga),Loretta Chase,3.99,336,12 x 19 cm,2012,Barbara Vitez,mehka,Učila International d.o.o.
002731,Igra parov (trda vezava),Sophie Kinsella,6.0,253,"12,5 cm x 19 cm",2012,Alenka Perger,trda,Učila International d.o.o.
012966,Ne guglaj strtega srca (Žepna knjiga),Emma Garcia,3.99,365,"12,5 x 19 cm",2013,Petra Berlot Kužner,žepna,"Učila International, d.o.o."
003094,V znamenju orla (trda vezava),Simon Scarrow,14.99,365,13x20,2013,Ljubica Klančar,trda,"Učila International, d.o.o."
012943,Razbito okno (Žepna knjiga),Jeffery Deaver,14.9,568,13 x 19 cm,2013,Polona Prodnik,broširana,"Učila International, d.o.o."
012946,Nevarno spoznanje (Žepna knjiga),Tasha Alexander,3.99,320,13 x 19 cm,2013,Suzana Pečnik,žepna,"Učila International, d.o.o."
012945,Tujka (Žepna knjiga),Camilla Lackberg,12.9,410,13 x 19 cm,2013,Danni Stržar,broširana,"Učila International, d.o.o."
012952,Barve poželenja (Žepna knjiga),Vina Jackson,3.99,301,13x19,2013,Petra Anžlovar,žepna,"Učila International, d.o.o."
002959,Osvajalec (trda vezava),Conn Iggulden,14.99,532,"13,5 cm x 19,5 cm",2012,Alenka Razbor&scaron;ek,trda,Učila International d.o.o.
003142,Zapestnica spominov (trda vezava),Melissa Hill,6.0,382,14x20 cm,2013,Nata&scaron;a Grom,trda,"Učila International, d.o.o."
003075,Petdeset odtenkov sive,EL James,34.9,544,"13 x 19,5 cm",2012,Alenka Perger,trda,Učila International d.o.o.
002882,Afganistanec (Trda vezava),Frederick Forsyth,14.99,320,"13 x 19,5 cm",2012,Samo Ku&scaron;čer,trda,Učila International d.o.o.
012925,Solze biserne (Žepna knjiga),Tasha Alexander,3.99,304,13 x 19 cm,2012,Suzana Pečnik,broširana,0
002985,Varno zavetje (trda vezava),Nicholas Sparks,14.99,356,"13 x 19,5 cm",2012,Nata&scaron;a Grom,trda,Učila International d.o.o.
012937,Ubijaj ali umri (Žepna knjiga),Urban Waite,3.99,295,"12,5 x 19 cm",2012,Jedrt Maležič,žepna,Učila International d.o.o.
012915,Vsi moji biv&scaron;i (Žepna knjiga),Jenny Colgan,3.99,336,13 x 19 cm,2012,Suzana Jovanovič,broširana,Učila International
