sifra,naslov,avtor,cena_v_evrih,stevilo_strani,dimenzije,leto_izdaje,prevajalec,vezava,zalozba
013209,Nepozaben večer (Žepna knjiga),Julia Quinn,10.9,294,125 X 190 X 23 mm,2015,Mojca Svetičič,broširana,"Učila International, d.o.o."
013242,Poljub do popolnosti (Žepna knjiga),Susan Mallery,10.9,320,125 x 190 x 25 mm,2015,Neža Kralj,broširana,"Učila International, d.o.o."
003753,Vsota vseh poljubov (trda vezava),Julia Quinn,32.9,304,130 x 195 x 26 mm,2015,Mojca Svetičič,trda,"Učila International, d.o.o."
003748,Popolna ljubimka (trda vezava),Stephanie Laurens,14.99,438,130 x  195 x 36 mm,2015,Barbara Golubovac,trda,"Učila International, d.o.o."
003692,Osumljenec (trda vezava),Michael Robotham,34.9,422,135 x 195 x 35 mm,2015,Primož Trobev&scaron;ek,0,"Učila International, d.o.o."
003663,Ne zavrni markiza (trda vezava),Tessa Dare,14.99,340,130 x 195 x 30 mm,2015,Mateja Maligoj,trda,"Učila International, d.o.o."
013238,Ljubezen v vinogradu (Žepna knjiga),Laura Dave,10.9,304,125 x 190 x 24 mm,2015,Andrea Potočnik,broširana,"Učila International, d.o.o."
013237,Odločitve (Žepna knjiga),Noah Gordon,12.9,400,125 x 190 x 30 mm,2015,Maja Lihtenvalner,broširana,"Učila International, d.o.o."
013227,Alex (Žepna knjiga),Pierre Lemaitre,3.99,348,125 x 190 x 25 mm,2015,&Scaron;pela Žakelj,broširana,"Učila International, d.o.o."
003712,Slepo zaljubljena (trda vezava),Abbi Glines,26.9,224,130 X 195 X 20 mm,2015,Ajda Jazbec,trda,"Učila International, d.o.o."
003770,Poljub do popolnosti (trda vezava),Susan Mallery,32.9,320,130 x 195 x 28 mm,2015,Neža Kralj,trda,"Učila International, d.o.o."
003571,Ljuba moja po&scaron;ast (trda vezava),Elizabeth Hoyt,32.9,300,130 x 195 x 27 mm,2015,Ida Sternad,trda,"Učila International, d.o.o."
013220,Ženin v kiltu (Žepna knjiga),Grace Burrowes,3.99,318,125 x 190 x 24 mm,2015,Maja Prevolnik,broširana,"Učila International, d.o.o."
013236,Poletna romanca (Žepna knjiga),Mary Kay Andrews,12.9,440,125 x 190 x 34 mm,2015,Suzana Eckert,broširana,"Učila International, d.o.o."
013224,Ne zavrni markiza (Žepna knjiga),Tessa Dare,3.99,340,125 x 190 x 32 mm,2015,Mateja Maligoj,broširana,"Učila International, d.o.o."
003693,Utopljeni spomini (trda vezava),Michael Robotham,34.9,414,130 x 195 x 35 mm,2015,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
003670,Poglavar (trda vezava),Monica McCarty,32.9,398,130 x 195 x 32 mm,2015,Petra Cerar,trda,"Učila International, d.o.o."
013222,Poročna stava (Žepna knjiga),Jane Ashford,12.9,396,125 x 190 x 30,2015,Mojca Žnidar&scaron;ič,broširana,"Učila International, d.o.o."
003713,Nepozaben večer (trda vezava),Julia Quinn,32.9,294,130 X 195 X 25 m,2015,Mojca Svetičič,trda,"Učila International, d.o.o."
013176,Čudovita pozaba (Žepna knjiga),Jamie McGuire,3.99,318,125 x 190 x 24 mm,2015,Primož Trobev&scaron;ek,žepna,"Učila International, d.o.o."
